,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수,판타지,현대판타지,무협,로맨스판타지
32, 신입사원의 부업이 재벌 3세 친구다,현대판타지,꿈가득남,2024-04-12,2024-06-20,74,1335220,30226,410110,9305,False,True,False,False
33, 사도세자는 편하게 살고 싶다,판타지,까다롭스키,2024-02-02,2024-06-20,110,782855,43281,1385738,6892,True,False,False,False
34, 고아인데 마법천재,판타지,찬동,2023-10-18,2024-06-20,166,2716424,73825,1077605,15115,True,False,False,False
35, EX급 창고를 얻었다,판타지,한손검,2024-03-03,2024-06-20,112,2493353,56811,940461,14915,True,False,False,False
36, 낭만재벌 김민식,현대판타지,오정,2023-12-16,2024-06-20,136,1490615,43581,792548,7127,False,True,False,False
37, 북부 전선의 고인물,판타지,데거스,2024-05-08,2024-06-21,62,1583714,36457,384734,11403,True,False,False,False
38, 턴제의 마법사,판타지,정따블,2024-01-21,2024-06-21,135,1908660,93085,874305,17446,True,False,False,False
39, 제국 경비대의 망나니 소드마스터,판타지,사탕꽃,2024-01-24,2024-06-20,134,2718722,73730,926015,19511,True,False,False,False
40, 대영제국에서 작가로 살아남기,판타지,고스름도치,2023-05-10,2024-06-20,311,2826718,128629,1763658,12991,True,False,False,False
41, 화학천재의 비밀 투자 공식,현대판타지,율려(律呂),2023-12-31,2024-06-21,156,2919357,80601,919171,14980,False,True,False,False
42, 메디치 가문의 사생아가 너무 유능함,판타지,르클레르,2024-04-02,2024-06-20,95,823137,24941,530327,5938,True,False,False,False
43, 돌팔이 의사 자크 지라르,판타지,담하이데,2024-03-27,2024-06-20,75,596995,24418,539055,5169,True,False,False,False
44, 러스트 [ RUST ],현대판타지,글라딘,2021-07-26,2024-06-20,1059,11718796,497973,6409768,30552,False,True,False,False
45, 삼국지 : 내가 영웅의 그릇인가.,판타지,엠보돌,2023-12-04,2024-06-21,169,1289630,46045,981979,6838,True,False,False,False
46, 하남자 헌터의 셀프육성법,판타지,데프프픗,2024-05-08,2024-06-20,63,871606,29417,342785,6868,True,False,False,False
47, 절대독공으로 SSS급 헌터,현대판타지,차성,2024-03-12,2024-06-20,94,1662767,36722,598546,8768,False,True,False,False
48, 축구부 방출 후 천재 투수가 되었다,현대판타지,유선강,2024-02-24,2024-06-20,121,1481455,37445,703454,7746,False,True,False,False
49, 천만년만에 귀환한 무신님,현대판타지,맛깔란,2024-02-20,2024-06-20,135,2151604,47587,853023,10306,False,True,False,False
50, 회귀한 재벌은 미국을 사기로했다,판타지,연태량,2024-03-18,2024-06-20,114,766174,19539,636828,4560,True,False,False,False
51," 로큰롤, 발 없는 새가 되다",현대판타지,경우勁雨,2024-02-23,2024-06-21,244,1147030,44672,1308026,5499,False,True,False,False
52, 조선왕자가 미국갔다 안 돌아옴,판타지,누텔라.,2022-05-21,2024-06-20,545,3328353,126045,3557249,10091,True,False,False,False
53, 겨우 강해졌는데 회귀해버림,현대판타지,수국칼,2024-02-12,2024-06-20,133,2564524,58397,716672,13456,False,True,False,False
54, 은퇴한 헌터의 아포칼립스,현대판타지,디다트,2023-12-26,2024-06-21,160,2431613,66347,1101462,15534,False,True,False,False
55, 피지컬 괴물 수비수가 EX급 시야를 얻음,현대판타지,천달,2024-04-25,2024-06-20,54,803226,15891,303321,5833,False,True,False,False
56, 역천의 대한민국!,판타지,강바기,2023-02-20,2024-06-20,357,2772122,76132,1951018,9284,True,False,False,False
57, 카이스트 천재는 재벌이 된다,현대판타지,지지지비,2024-03-21,2024-06-20,79,1036231,20341,441315,6196,False,True,False,False
58, 탈조선 후 대박 스트라이커,현대판타지,오수정,2024-03-26,2024-06-21,60,1106356,17901,344399,5281,False,True,False,False
59, 착각계 소드마스터,판타지,기뮨,2024-03-26,2024-06-21,67,1060780,25771,454994,7395,True,False,False,False
60, 오빠가 천재였다.,현대판타지,시하,2024-03-31,2024-06-21,72,1753731,38622,502359,10915,False,True,False,False
61, 명군이 되어보세!,판타지,슈타인호프,2017-07-01,2024-06-21,2152,12877245,439017,15530300,12643,True,False,False,False
62, 풍요의 여신과 천재 망나니 사도님,판타지,곰산타,2024-03-18,2024-06-20,99,725515,24116,649349,4681,True,False,False,False
63, 아포칼립스에 집을 숨김,현대판타지,로드워리어,2022-12-13,2024-06-20,464,6773407,377603,3195119,33283,False,True,False,False
64, 쓰나미도 피하는 위치선정 축구천재,현대판타지,계약직,2024-02-08,2024-06-20,114,1818758,45406,646907,10331,False,True,False,False
65, 각성이 멈추질 않는다,현대판타지,길마,2024-03-12,2024-06-20,86,1763071,38817,561080,9476,False,True,False,False
66, 카이저가 칼들고 협박함,판타지,I알자스I,2023-05-18,2024-06-20,330,1298662,46157,1915266,4392,True,False,False,False
67, 시장통 맛침명의 재벌처가 씹어먹다,판타지,가프,2024-03-21,2024-06-21,114,1984169,56368,678764,10426,True,False,False,False
68, 케이팝 씹어먹는 천재 작곡가,현대판타지,이신유,2023-12-13,2024-06-21,189,1951273,59815,1077887,10573,False,True,False,False
69, 서울역 세종대왕,판타지,구사(龜沙),2023-12-04,2024-06-20,165,1145812,41034,927254,6035,True,False,False,False
70, 야만전사의 게임방송,현대판타지,냐타드코코,2024-01-30,2024-06-20,124,944332,26155,889649,5689,False,True,False,False
71, 회귀자 생활백서(回歸者 生活白書),무협,넉울히,2024-02-21,2024-06-20,154,2884133,80920,1137807,16381,False,False,True,False
72, 고귀한 헌터로 착각당했다,현대판타지,글포터,2024-02-20,2024-06-21,121,2693111,68017,650044,15563,False,True,False,False
73, 미국 레트로 소설가가 되었다.,현대판타지,뇌조,2023-09-02,2024-06-20,323,2143820,87761,2313079,9161,False,True,False,False
74, 돌아온 삼촌이 마왕이라는데요?,현대판타지,김판,2024-05-08,2024-06-20,50,910577,20350,290771,6078,False,True,False,False
75, 은퇴 코더가 빅테크를 사버림,현대판타지,SOKIN,2023-10-19,2024-06-21,222,2514456,54378,1123559,10871,False,True,False,False
76, 억만장자가 된 미전실의 사냥개,현대판타지,홈스탠바이,2024-03-26,2024-06-20,91,1004267,19620,702270,4985,False,True,False,False
77, 몽골조선의 천재 데릴사위가 되었다,판타지,기신,2023-09-11,2024-06-20,154,1038241,27530,1392278,5517,True,False,False,False
78, 우주 무기가 너무 강함,현대판타지,계란탁,2024-04-08,2024-06-20,78,1300293,27043,455955,7528,False,True,False,False
79, AI 나노봇으로 농사를 딸깍,현대판타지,따상,2024-02-26,2024-06-20,95,1096995,33549,511211,6157,False,True,False,False
80, 역대급 스피드의 축구천재,현대판타지,얼음강철,2023-11-23,2024-06-20,213,1787862,42043,1736615,8038,False,True,False,False
81, 칭찬스티커 받는 단종,판타지,문환,2023-10-24,2024-06-20,182,1269648,63314,1318339,7517,True,False,False,False
82, 미궁 속 천재공학자,현대판타지,병장개미,2022-10-19,2024-06-21,494,3044700,140292,2780864,12537,False,True,False,False
83," 을미년, 민비 대신 고종이 죽었다",판타지,이그드라시,2024-02-23,2024-06-21,93,474072,23107,589913,3622,True,False,False,False
84, 귀농한 무한서고의 주인이 꿀빠는 법,판타지,[세인토],2024-03-25,2024-06-20,91,637749,13613,479416,3794,True,False,False,False
85, 게임 마인드의 중세 현대인,판타지,하드폭발,2023-03-01,2024-06-20,264,1771570,97029,1606473,10481,True,False,False,False
86, 방출당한 투수가 금강불괴로 돌아옴,현대판타지,단팥빵소년,2024-03-10,2024-06-21,142,1674756,38358,910333,7560,False,True,False,False
87, 세계권력급 아공간 헌터,현대판타지,슬리버,2024-03-28,2024-06-21,84,1822732,47850,545874,12466,False,True,False,False
88, 마갑을 만드는 천재마법사,판타지,레드풋,2024-04-01,2024-06-20,88,1202518,32433,638809,7467,True,False,False,False
89, 총통님 미국 가신다!,판타지,민초냥이,2024-01-23,2024-06-21,137,510460,22099,839152,3414,True,False,False,False
90, 내 분신이 거물이 되어간다,판타지,실험샘플,2022-07-04,2024-06-21,554,5889313,219937,3703064,21193,True,False,False,False
91, 미친 천재작가가 돌아왔다,현대판타지,피자소주,2024-03-29,2024-06-20,75,955109,26707,477243,6548,False,True,False,False
92, 폐급 배우가 상태창을 숨김,현대판타지,papapa.,2024-01-09,2024-06-20,135,1110498,37833,750800,7332,False,True,False,False
93, F급 헌터가 우주전함을 키움,현대판타지,이나르™,2024-01-08,2024-06-20,143,1978060,49671,895179,11001,False,True,False,False
94, 재벌 스탈린은 공산당이 싫어요!,판타지,염왕,2023-10-25,2024-06-20,168,707258,32475,1290977,3762,True,False,False,False
95, 몬스터와 힐링하는 S급 헌터,현대판타지,다기205,2023-10-05,2024-06-20,248,1537666,69206,1440633,7786,False,True,False,False
96," 조선, 혁명의 시대",판타지,태사령,2019-06-12,2024-06-20,880,5129766,189920,6026879,10849,True,False,False,False
97, 천재 매니저는 시끄럽게 살기로 했다,현대판타지,편몽,2024-03-23,2024-06-20,89,977526,26455,523022,5041,False,True,False,False
98, 특이점으로 압도한다,판타지,우명(牛鳴),2024-02-08,2024-06-20,133,711866,20038,805113,3842,True,False,False,False
99, MLB 천재들이 방출 포수를 너무 좋아함,현대판타지,에필로거,2024-03-18,2024-06-20,92,1206460,25275,507985,5600,False,True,False,False
100, 회귀한 복학생이 건축 명문대 만듦,현대판타지,방구석리,2024-01-26,2024-06-20,134,997427,27435,780349,5386,False,True,False,False
101, 1970 중정 요원은 핵이 필요합니다,판타지,정사부,2024-03-27,2024-06-21,91,484494,13347,480135,3164,True,False,False,False
102, 1988 레트로 게임 재벌,현대판타지,Guybrush,2023-12-03,2024-06-21,159,462512,20925,1179538,3031,False,True,False,False
103, 근력 만렙 중세인,판타지,련습,2024-02-21,2024-06-20,111,1069756,32751,821058,7601,True,False,False,False
104, 1979 김부장이 독재를 계승 중입니다!,현대판타지,아아연하게,2023-12-28,2024-06-20,170,1405947,31792,961504,5463,False,True,False,False
105, 조선에는 쿠데타가 필요해요,판타지,앙금고라니,2023-06-26,2024-06-21,544,1534813,84678,3287782,5364,True,False,False,False
106, 말단 병사가 너무 강함,판타지,글택,2023-12-03,2024-06-20,202,2210177,43996,1284904,10233,True,False,False,False
107, 별에서 온 조선인,판타지,조휘,2024-03-15,2024-06-20,73,488017,12560,489078,2846,True,False,False,False
108, 아포칼립스 EX급 벙커 라이프,현대판타지,켈린더,2024-04-11,2024-06-20,74,748191,14732,468286,4660,False,True,False,False
109, 환생한 음악천재가 재능을 못 숨김,현대판타지,아몬드빵,2024-01-28,2024-06-20,118,1893278,48513,645932,10809,False,True,False,False
110, 회귀한 김에 아이돌 때려칩니다,로맨스판타지,엔터키뽑,2024-04-03,2024-06-20,73,1347359,31382,420350,9503,False,False,False,True
111, 초월자들과 거래하는 헌터,현대판타지,지장수,2024-02-15,2024-06-20,132,1115818,22435,917234,3392,False,True,False,False
112, 귀농했는데 아포칼립스 터졌다,현대판타지,버머랜드,2024-02-21,2024-06-21,115,885995,24449,696975,4782,False,True,False,False
113, 기적을 빚는 도예가,현대판타지,노델,2024-03-11,2024-06-20,101,726367,21354,567877,4646,False,True,False,False
114, 무인도 힐링 라이프를 꿈꿨는데 대박집 사장님이 되었다!,현대판타지,R렉스,2024-03-15,2024-06-20,100,563463,15653,546814,3139,False,True,False,False
115, 재앙급 귀환자의 현대 생활,현대판타지,펜리힐드,2023-08-29,2024-06-20,226,1781552,41236,1615016,8248,False,True,False,False
116, 테니스 코트 위의 절대자,현대판타지,김군0619,2023-07-13,2024-06-21,349,1257616,52175,2779722,4896,False,True,False,False
117, 고인물의 스킬이 너무 화려하다,판타지,광산김가,2024-02-05,2024-06-20,115,1794728,36706,743541,9095,True,False,False,False
118, 무신들의 단톡방에 초대되었다,무협,엉끼,2023-11-21,2024-06-20,152,1672881,36938,1294979,8868,False,False,True,False
119, 재벌집 만렙 아들,현대판타지,오소록,2022-10-19,2024-06-20,435,4199355,109901,2575951,17834,False,True,False,False
120, 회사 잘린 김에 음악천재 합니다,현대판타지,먹고땡,2024-03-21,2024-06-21,84,894751,18930,507061,5184,False,True,False,False
121, 귀농한 천재 황족은 혈통을 숨김,무협,어로달,2024-01-02,2024-06-20,149,1072932,28428,761700,4671,False,False,True,False
122, EX급 절대반지를 얻었다,현대판타지,김현준™,2024-04-05,2024-06-21,83,1688626,36996,607384,9860,False,True,False,False
123, 삼국지 원가의 망나니 대공자,판타지,레니sh,2024-01-20,2024-06-20,138,636074,15474,738016,2771,True,False,False,False
124, 당문전,무협,제이허빈,2023-04-05,2024-06-21,435,4119948,209245,2982462,17205,False,False,True,False
125, 격랑을 누르는 검,무협,백연™,2024-02-03,2024-06-21,129,1419349,47440,695180,7760,False,False,True,False
126, 이혼 후 작두 탔습니다.,현대판타지,동심(動心),2023-08-22,2024-06-20,238,1662522,28963,1871088,5713,False,True,False,False
127, 빌보드 1위로 시작하는 작곡생활,현대판타지,바사라단,2024-03-14,2024-06-21,92,991318,23579,567772,5803,False,True,False,False
128, 투수가 딸깍함!,현대판타지,엉심킬러,2023-12-06,2024-06-21,166,1316377,36813,987176,6158,False,True,False,False
129, 우주에서 날아온 재벌님,현대판타지,오유,2021-10-27,2024-06-20,150,919159,22614,822990,3576,False,True,False,False
130, 괴물 천재선수들이 날 너무 좋아함,현대판타지,혜인태,2023-11-22,2024-06-21,229,1955360,50863,1208811,9203,False,True,False,False
131, 메이저리그로 간다,현대판타지,마인네스,2024-01-12,2024-06-21,165,1234525,30349,893393,4945,False,True,False,False
132, 똥손 재벌 3세 회귀하다,현대판타지,Primus,2024-02-20,2024-06-21,147,880192,15332,777207,3715,False,True,False,False
133, 여행 중에 아이가 생겼다.,현대판타지,소설마표,2024-03-14,2024-06-20,102,823305,16088,530048,3972,False,True,False,False
134, 1953 맨손 재벌,현대판타지,knoxk,2022-11-01,2024-06-21,406,1207215,44447,2389169,5099,False,True,False,False
135, 내 땅에 통행료가 들어온다,판타지,현진현우,2024-03-04,2024-06-20,112,652480,14653,601423,2919,True,False,False,False
136, 변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,2024-02-22,2024-06-20,127,706152,31747,1186812,5664,True,False,False,False
137, 존버했더니 제국권력급 스승을 얻었다,현대판타지,05林,2024-03-26,2024-06-20,84,1059438,20774,463888,5018,False,True,False,False
138, 역천무림,무협,라바테라,2024-03-22,2024-06-20,93,1112879,25881,556822,5629,False,False,True,False
139, 맛집 사장님은 빌런 탈곡기,현대판타지,크엉컹컹,2024-01-14,2024-06-21,149,546646,24276,1051742,2874,False,True,False,False
140, 아포칼립스 장난감,현대판타지,눌프,2024-03-16,2024-06-21,92,1772888,46828,510890,10268,False,True,False,False
141, 파혼 후 역대급 투자 천재,현대판타지,단골손놈,2024-03-19,2024-06-20,103,1390161,23902,627668,6622,False,True,False,False
142, S급 용병의 슬기로운 사회생활,현대판타지,한준솔봄,2023-09-19,2024-06-20,251,2207591,55531,1770843,11342,False,True,False,False
143, 괴물 음악천재가 되어 돌아왔다,현대판타지,츠로프,2024-03-02,2024-06-20,106,1162488,27494,609334,6567,False,True,False,False
144, 내 안에 AI가 들어왔다,현대판타지,장경의꿈,2024-01-24,2024-06-21,134,1411426,29110,742138,5097,False,True,False,False
145, 여행 유튜버가 된 언어 천재,현대판타지,한성윤,2023-12-03,2024-06-20,167,994381,28293,986598,5584,False,True,False,False
146, 다이아수저 발롱도르,현대판타지,S.Captain,2023-12-22,2024-06-20,150,956147,20608,881702,4768,False,True,False,False
147, 수비천재가 3점을 폭격함,현대판타지,코다,2024-03-04,2024-06-20,122,946623,24715,723743,5197,False,True,False,False
148, 중세 불꽃의 기사로 살아남기,판타지,포더엠,2024-03-18,2024-06-20,97,1285627,33896,630078,7464,True,False,False,False
149, 빌런의 제국이 시작되었다,판타지,느린손,2024-02-25,2024-06-20,60,301892,7857,363168,2083,True,False,False,False
150, 딸을 위해 쓴 소설이 대박났다,현대판타지,소수깡,2023-12-26,2024-06-20,154,1119449,31295,1153977,6410,False,True,False,False
151, 괴물급 천재 작가들이 날 너무 좋아함,현대판타지,shoro,2024-03-20,2024-06-21,102,607405,20992,549136,4126,False,True,False,False
152, 황금 귀의 프로듀서,현대판타지,무적푸딩,2024-02-25,2024-06-21,115,1317532,29431,688952,6131,False,True,False,False
153, 북부 대공의 시한부 딸을 살려버렸다,판타지,장홍,2024-02-05,2024-06-20,127,2207449,58135,816150,14301,True,False,False,False
154, 서부의 합법적 핵쟁이가 되었다,현대판타지,배뿌,2023-10-22,2024-06-20,181,1758493,63680,970816,10335,False,True,False,False
155, 전생킬러인데 모범시민,현대판타지,장성필,2023-07-31,2024-06-20,213,2524710,68273,1108015,9465,False,True,False,False
156, 삼국지 : 유비의 아들은 조용히 살고 싶다.,판타지,조작가R,2024-02-19,2024-06-20,106,299633,11102,634622,1994,True,False,False,False
157, 좌천된 재벌 3세는 역대급 축구 단장,현대판타지,끄적이다,2023-12-04,2024-06-20,199,536179,18216,1282515,2448,False,True,False,False
158, 미국 피지컬 천재의 이중생활,현대판타지,용린龍鱗,2023-03-23,2024-06-20,188,2499753,77359,1175354,12165,False,True,False,False
159, 전생에 모네 친구였던 재벌집 망나니,현대판타지,폭팡,2024-03-11,2024-06-20,94,896968,20065,633909,5041,False,True,False,False
160, 전직 사단장이 러일전쟁을 캐리함,판타지,꿈사학도,2023-07-31,2024-06-21,316,774654,27725,2070122,3291,True,False,False,False
161, 고졸순경이 경찰청장 되기,현대판타지,해황,2020-05-11,2024-06-20,1907,3536608,105908,12506256,4413,False,True,False,False
162, 스펠릭의 사냥꾼,판타지,zaksalking,2023-06-02,2024-06-21,328,975460,33959,1925575,4057,True,False,False,False
163, 신입사원이 미쳐 날뜀,현대판타지,드렁큰댕댕,2024-03-29,2024-06-21,85,701897,17211,517045,3749,False,True,False,False
164, 서브 남주가 파업하면 생기는 일,판타지,숙임,2020-05-11,2024-06-20,915,5194034,342219,5635334,19291,True,False,False,False
165, 좌완으로 170km 던짐,현대판타지,량주,2024-01-23,2024-06-20,123,1090508,23263,661772,5369,False,True,False,False
166, 삼국지 설탕왕,판타지,화용,2021-10-26,2024-06-20,740,2105644,83256,4322401,5756,True,False,False,False
167, 탑스타 버리고 회귀합니다,현대판타지,소래담,2024-01-09,2024-06-20,156,1100118,27954,888987,5653,False,True,False,False
168, 불로불사로 산다는 것은,판타지,겨울에어컨,2023-05-10,2024-06-21,194,1264615,58030,1109472,12039,True,False,False,False
169, 아기 용과 시골에서 힐링합니다,현대판타지,단열,2023-10-10,2024-06-21,238,1377134,49281,1527711,6494,False,True,False,False
170, 육각형 축구천재가 트로피를 싹쓸이함,현대판타지,쾌조,2024-01-06,2024-06-21,127,1408544,31425,660309,6171,False,True,False,False
171, 의사가 음악을 너무 잘함,현대판타지,세끝,2024-02-11,2024-06-21,122,602297,15105,711998,3126,False,True,False,False
172, 어쩌다 재벌집 사위가 된 당신을 위한 지침서,로맨스판타지,소탐자,2023-10-23,2024-06-21,262,1548963,33338,1754684,6009,False,False,False,True
173, 치트 쓰는 영주님,판타지,리플래시,2024-03-04,2024-06-21,106,710477,19818,739563,3579,True,False,False,False
174, 재벌은 1968부터,현대판타지,류버들,2023-11-01,2024-06-20,188,676139,16177,1173841,2688,False,True,False,False
175," 이혼 전 코인 수익률 9,999,999배",현대판타지,로노바,2024-04-01,2024-06-20,80,795365,13638,442120,4019,False,True,False,False
176, 국가권력급 헌터가 미국으로 이민감,현대판타지,재즈소울,2024-05-19,2024-06-21,57,608011,10545,318386,3160,False,True,False,False
177, 해를 세다,판타지,황금하르방,2023-12-06,2024-06-20,172,737844,29210,952155,3486,True,False,False,False
178, 재벌가 사위가 강속구를 숨김,현대판타지,취력(取力),2024-04-06,2024-06-20,77,761543,13954,455463,3244,False,True,False,False
179, 재벌 3세는 조용히 살고 싶다,현대판타지,SSDHDD,2020-02-26,2024-06-21,1578,9022445,189406,9011288,13534,False,True,False,False
180, 은퇴한 헌터는 세계수를 주웠다,현대판타지,콜레오,2024-02-09,2024-06-21,140,1134167,28092,896560,5175,False,True,False,False
181, 달동네 천재 작가,현대판타지,웨이트,2023-07-05,2024-06-20,300,1741726,68529,1780598,8904,False,True,False,False
182," S급누나, 파멸급 동생",현대판타지,잔나비V,2024-04-16,2024-06-20,67,897541,15537,353585,4611,False,True,False,False
183, 판타지 속 천재 기사로 살아가는 법,판타지,절필방지,2023-12-26,2024-06-20,136,1772159,36651,817350,7603,True,False,False,False
184, 은퇴한 소드마스터는 귀농을 꿈꾼다,판타지,폭파중,2023-12-25,2024-06-20,163,1092365,25182,931592,4587,True,False,False,False
185, 필드 위의 이탈리안,현대판타지,물뱀,2024-03-02,2024-06-20,101,427538,11088,679159,2728,False,True,False,False
186, 무당이 역대급 음악천재였다.,현대판타지,한꽃,2024-02-19,2024-06-21,131,630473,15561,719944,3257,False,True,False,False
187, 역대급 라이프 스타일,현대판타지,에쮸드,2024-02-20,2024-06-20,144,1551117,32139,791816,7246,False,True,False,False
188, 대환장 경렴 선협전,무협,탁목조,2023-08-29,2024-06-20,309,977167,31224,2030655,3042,False,False,True,False
189, 게임 속 농작물을 현실에서 거래함,현대판타지,오천자,2024-03-08,2024-06-20,91,637741,19918,564064,4414,False,True,False,False
190, 무언의 마법사,현대판타지,강철민,2023-10-06,2024-06-20,204,2161142,49244,1072236,9783,False,True,False,False
191, 기억을 담는 사진작가,현대판타지,덤벙,2024-01-12,2024-06-21,156,480945,19952,938180,2871,False,True,False,False
192, 증기시대의 야수조련사,판타지,돌무지,2024-02-29,2024-06-20,96,375083,24708,679124,4797,True,False,False,False
193, 방출된 연습생이 월클 작곡가였다,현대판타지,페르세르크,2023-12-26,2024-06-20,148,1341745,27185,841938,6499,False,True,False,False
194, 파혼 당한뒤 EX급 무한성장 특성을 각성해버렸다,현대판타지,대왕풍선,2024-05-16,2024-06-21,49,575276,8909,307830,3617,False,True,False,False
195, 신화급 창고를 얻었다!,판타지,앤비즈,2024-05-08,2024-06-21,52,681752,14087,269693,4719,True,False,False,False
196, 근본있는 소드마스터,판타지,.로튼애플.,2024-02-21,2024-06-20,118,962789,23493,631629,5310,True,False,False,False
197, 검마회귀록,무협,정석연재,2024-03-12,2024-06-21,77,657160,12958,462674,2438,False,False,True,False
198, 내 미니언들은 플레이어보다 세다,현대판타지,신비공,2024-04-02,2024-06-20,78,368223,8442,397408,1938,False,True,False,False
199, 게임 속 신선으로 살아남기,무협,미속,2023-08-15,2024-06-21,304,1329138,42764,1910409,6480,False,False,True,False
200, 탑 매니지먼트,현대판타지,장우산,2015-12-07,2024-06-19,296,19235694,569826,1808691,37155,False,True,False,False
201, 회귀한 전생자의 유유자적 재난 라이프,현대판타지,전혁,2023-07-18,2024-05-03,192,3323900,74390,1138568,14874,False,True,False,False
202, 제약회사 회장님은 절대독마,현대판타지,꾸찌꾸찌,2023-01-05,2023-10-06,225,5064873,161485,1480365,19331,False,True,False,False
203, 이상적 연출생활백서,현대판타지,자경(蔗境),2024-03-12,2024-06-20,96,1655129,51740,649633,11844,False,True,False,False
204, 재벌 3세의 홀로서기,현대판타지,새가람,2023-01-01,2023-07-31,264,3837995,79013,1418850,12390,False,True,False,False
205, 천재 축구감독의 2회차,현대판타지,주주총회,2023-06-20,2024-04-30,221,1898015,49522,1167809,7669,False,True,False,False
206, 주인공이 힘을 숨김,현대판타지,로드워리어,2016-06-11,2017-04-29,350,6405985,204427,2207270,19866,False,True,False,False
207, 시간을 달리는 소설가,현대판타지,피아조아,2023-04-03,2024-06-19,272,6609344,353039,1911724,35246,False,True,False,False
