,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
19,전지적 독자 시점,현판,싱숑,(2018.05.21.),(2024.06.24.),766,"815,770","20,454",9.9
20,노 네임 러브,로맨스,스모어,(2024.06.21.),(2024.06.21.),83,8,5,9.9
21,괴력 난신(怪力 亂神),무협,한중월야,(2021.11.19.),(2023.07.25.),527,"22,300",260,9.7
22,차라리 빌런으로 살겠다,현판,서인하,(2024.06.20.),(2024.06.25.),127,469,9,9.6
23,"교수님, 그 결혼 저랑 해요 [독점]",로맨스,루위,(2024.06.07.),(2024.06.07.),81,259,14,9.9
24,독종의 연애 [독점],로맨스,플라비,(2024.06.20.),(2024.06.20.),85,169,8,9.4
25,북부 대공,로판,투머치텐션,(2024.01.10.),(2024.01.10.),162,"1,247",33,9.7
26,이상한 나라의 흰 토끼,로판,명윤,(2017.11.10.),(2017.11.10.),85,122,40,9.8
27,회귀자 생활백서(回歸者 生活白書),무협,넉울히,(2024.05.23.),(2024.06.24.),158,"1,541",12,9.2
28,환생천마,무협,장영훈,(2017.04.03.),(2017.09.27.),300,"8,920",880,9.6
29,하녀와의 계약결혼 [독점],로판,달새울,(2021.09.02.),(2024.06.21.),295,"11,810",327,9.9
30,농어촌 에이스 [독점],현판,이블라인,(2024.05.07.),(2024.06.24.),102,"2,804",42,9.6
31,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,(2024.04.02.),(2024.06.25.),122,763,16,9.5
32,미쉐린 백작 영애의 파란 공단 리본 [선공개],로판,미녜,(2024.06.14.),(2024.06.14.),88,60,1,9.4
33,황제의 포로가 되었습니다 [선공개],로판,귀찮은 홍시,(2024.06.14.),(2024.06.14.),95,62,12,9.6
34,마교 교주의 부군이 되었다 [독점],무협,쥬레이,(2023.09.19.),(2024.06.25.),315,"7,439",109,9.4
35,날 닮은 아이 [독점],로맨스,플아다,(2021.05.01.),(2022.03.16.),183,"16,004",837,9.9
36,아포칼립스에 집을 숨김,현판,로드워리어,(2023.04.17.),(2024.06.24.),466,"28,356",238,9.5
37,파티에서 추방된 영웅이 너무 뛰어남 [독점],현판,블루클리프,(2022.05.04.),(2023.08.04.),416,"4,712",30,8.7
38,회귀수선전(回歸修仙傳),무협,엄청난,(2023.06.05.),(2024.06.24.),513,"50,090",348,9.6
39,나 혼자 탑에서 농사,현판,sdcknight,(2022.09.10.),(2024.06.22.),736,"29,158",680,9.8
40,응급 연애 동의서 [선공개],로맨스,배사비,(2024.06.14.),(2024.06.14.),105,11,1,8.7
41,설익은 재회 [선공개],로맨스,핼쯰,(2024.06.14.),(2024.06.14.),93,31,16,9.7
42,천마신교 최강 막내제자 [독점],무협,리진,(2022.04.27.),(2022.12.15.),300,980,25,8.5
43,카오스 [선공개],로맨스,홍지우,(2024.06.14.),(2024.06.14.),75,8,2,9.6
44,나의 다정한 무뢰한에게 [독점],로판,만다라,(2023.04.13.),(2023.12.01.),206,"1,917",43,9.7
45,김 대리는 아이돌이 싫어 [독점],현판,퇴사연습생,(2023.11.07.),(2024.06.25.),271,"17,017",233,9.9
46,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,(2024.06.14.),(2024.06.24.),118,109,5,8.4
47,뺏긴 자리에 미련 없습니다 [독점],로판,최아리,(2023.06.13.),(2024.03.12.),220,"3,164",57,8.7
48,시장통 맛침명의 재벌처가 씹어먹다,현판,가프,(2024.06.19.),(2024.06.25.),119,94,1,9.2
49,역대급 라이프 스타일,현판,에쮸드,(2024.06.21.),(2024.06.24.),148,105,4,8.3
50,1500억을 받았다,현판,먼지운,(2024.06.14.),(2024.06.24.),115,229,3,7.8
51,마도전생기 [독점],무협,codezero,(2020.02.17.),(2024.06.24.),934,"40,440",740,9.2
52,영업 천재가 되었다,현판,댄킴,(2021.01.05.),(2021.09.03.),265,"5,583",128,9.9
53,EX급 창고를 얻었다,판타지,한손검,(2024.06.19.),(2024.06.25.),115,124,2,7.2
54,천재 무림 트레이너 [독점],무협,크루크루,(2021.10.27.),(2023.03.17.),425,"7,702",57,9.2
55,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,(2021.02.10.),(2024.06.22.),854,"37,220",772,9.8
56,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,(2024.05.13.),(2024.06.24.),137,"1,100",7,9.3
57,국세청 망나니 [독점],현판,동면거북이,(2020.07.08.),(2022.01.06.),500,"16,112",327,9.7
58,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,(2024.06.21.),(2024.06.25.),109,63,1,8.5
59,기프티드 (GIFTED),현판,도서관식객,(2019.02.20.),(2020.10.19.),386,"4,412",72,9.6
60,광마회귀 [독점],무협,유진성,(2020.02.26.),(2022.08.03.),450,"171,301","3,438",9.9
61,일타강사 백사부 [독점],무협,간짜장,(2020.10.21.),(2024.06.24.),738,"72,533","1,205",9.8
62,살아남은 왕녀의 웃음 뒤에는 [선공개],로판,아미드,(2021.11.03.),(2023.09.01.),160,"4,080",117,9.9
63,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,(2020.12.06.),(2024.06.25.),601,"72,451","2,373",7.5
64,못 잡아먹어서 안달 [독점],로맨스,플아다,(2022.10.20.),(2023.11.29.),157,"7,791",644,9.9
65,레벨업 하는 로그,판타지,글쟁이라떼,(2024.06.05.),(2024.06.24.),113,930,8,9.6
66,던전을 그리는 화가 [독점],현판,취미글주의,(2024.01.16.),(2024.06.24.),210,"10,898",62,9.9
67,마교전선 비룡십삼대 [독점],무협,겨울반디,(2021.10.06.),(2022.09.20.),359,"3,342",40,8.1
68,엄마 친구 아들 관찰기 [독점],로맨스,주해나,(2024.06.11.),(2024.06.15.),85,631,8,9.4
69,블랙기업조선,판타지,국뽕,(2020.03.20.),(2024.06.24.),1206,"34,756",202,9.6
70,원수의 아기를 가졌다 [독점],로판,미니바라기,(2023.02.19.),(2023.09.25.),300,"2,755",73,9.0
71,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,(2022.10.15.),(2024.06.20.),341,"5,340",66,7.5
72,본능의 대가 [독점],로맨스,설우희,(2024.04.11.),(2024.06.17.),87,"2,040",38,9.6
73,나쁜 착각 [독점],로맨스,벚꽃그리고,(2023.05.17.),(2023.06.01.),110,"2,886",21,9.7
74,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,(2023.10.07.),(2024.06.25.),430,"1,617",83,9.3
75,천재의 신들린 게임방송 [독점],현판,믿고보는,(2022.03.30.),(2024.06.25.),728,"20,859",153,9.8
76,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,(2022.10.21.),(2024.06.25.),689,"17,175",99,9.6
77,사랑하는 나의 억압자 [독점],로판,서사희,(2023.04.17.),(2024.02.24.),128,"11,159",928,9.9
78,운명을 보는 회사원,현판,영완(映完),(2020.01.10.),(2023.06.26.),317,"16,247",863,9.8
79,칼라디아의 늑대 [독점],판타지,시연우,(2024.04.30.),(2024.06.25.),114,490,14,9.0
80,낱장의 여름 [독점],로맨스,박영,(2024.05.23.),(2024.05.23.),95,"1,194",35,9.5
81,짙게 각인된 밤 [독점],로맨스,임여리,(2024.06.05.),(2024.06.05.),73,"1,612",4,9.6
82,회귀한 재벌은 미국을 사기로했다,현판,연태량,(2024.06.12.),(2024.06.24.),119,183,2,9.3
83,고인물의 스킬이 너무 화려하다,판타지,광산김가,(2024.06.19.),(2024.06.24.),117,188,좋아요,8.8
84,A.I. 닥터 [독점],현판,한산이가,(2020.04.29.),(2024.06.25.),1535,"54,041","1,193",9.8
85,시한부 천재가 살아남는 법,무협,청시소,(2021.02.10.),(2024.06.24.),726,"58,798",429,9.6
86,절대 검감(絶對 劍感) [외전포함],무협,한중월야,(2019.06.19.),(2020.05.12.),356,"23,503",418,9.4
87,천화서고 대공자 [독점],무협,김현영,(2020.09.23.),(2024.05.15.),527,"18,208",330,9.7
88,할배무사와 지존 손녀 [독점],무협,일향(一向),(2022.03.16.),(2024.06.04.),556,"9,858",238,9.7
89,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,(2024.05.22.),(2024.06.25.),119,408,9,9.0
90,약먹는 천재마법사,판타지,글근육,(2021.02.12.),(2024.06.24.),1144,"27,574",185,9.9
91,전생검신,무협,구로수번,(2016.09.09.),(2024.06.23.),1820,"43,855","1,969",9.5
92,재벌의 품격 [독점],현판,서인하,(2022.11.16.),(2023.06.24.),303,"6,179",87,9.5
93,왕따 그만두고 천재합니다,현판,자론상이,(2024.01.05.),(2024.05.20.),221,"1,040",24,9.4
94,바스티안 [독점] [에디티드 버전],로판,솔체,(2023.01.13.),(2023.08.04.),237,"44,926","1,210",9.5
95,별을 품은 소드마스터,판타지,Q10,(2021.06.29.),(2022.04.18.),285,"17,492",568,9.8
96,응급 맞선,로맨스,강영주,(2024.05.23.),(2024.05.23.),83,119,2,9.8
97,귀향한 먼치킨의 여행방송,현판,배고픈신발,(2024.06.07.),(2024.06.24.),127,100,4,8.9
98,당문전,무협,제이허빈,(2023.07.12.),(2024.06.24.),436,"14,722",92,9.4
99,재벌을 넘어 귀족으로,현판,푸달,(2024.05.24.),(2024.05.24.),200,68,좋아요,9.2
100,탑아이돌의 막내 멤버가 되었다 [독점],현판,강서울,(2023.02.28.),(2024.06.23.),405,"10,050",280,9.9
