,제목,장르,작가,평점,무협,현판,판타지,로판,로맨스
55,디펜스 게임의 폭군이 되었다 [독점],판타지,류은가람,9.8,False,False,True,False,False
56,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,9.3,False,False,True,False,False
57,국세청 망나니 [독점],현판,동면거북이,9.7,False,True,False,False,False
58,흙수저 작곡천재의 곡이 너무 잘 팔림,현판,주파,8.4,False,True,False,False,False
59,기프티드 (GIFTED),현판,도서관식객,9.6,False,True,False,False,False
60,광마회귀 [독점],무협,유진성,9.9,True,False,False,False,False
61,일타강사 백사부 [독점],무협,간짜장,9.8,True,False,False,False,False
62,살아남은 왕녀의 웃음 뒤에는 [선공개],로판,아미드,9.9,False,False,False,True,False
63,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,7.5,False,False,False,True,False
64,못 잡아먹어서 안달 [독점],로맨스,플아다,9.9,False,False,False,False,True
65,레벨업 하는 로그,판타지,글쟁이라떼,9.6,False,False,True,False,False
66,던전을 그리는 화가 [독점],현판,취미글주의,9.9,False,True,False,False,False
67,마교전선 비룡십삼대 [독점],무협,겨울반디,8.1,True,False,False,False,False
68,엄마 친구 아들 관찰기 [독점],로맨스,주해나,9.4,False,False,False,False,True
69,블랙기업조선,판타지,국뽕,9.6,False,False,True,False,False
70,원수의 아기를 가졌다 [독점],로판,미니바라기,9.0,False,False,False,True,False
71,사천당가의 검신급 소가주가 되었다,무협,화계火鷄,7.5,True,False,False,False,False
72,본능의 대가 [독점],로맨스,설우희,9.6,False,False,False,False,True
73,나쁜 착각 [독점],로맨스,벚꽃그리고,9.7,False,False,False,False,True
74,회귀한 공작가의 막내도련님은 암살자 [개정판],판타지,커피라임,9.3,False,False,True,False,False
75,천재의 신들린 게임방송 [독점],현판,믿고보는,9.8,False,True,False,False,False
76,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,9.6,True,False,False,False,False
77,사랑하는 나의 억압자 [독점],로판,서사희,9.9,False,False,False,True,False
78,운명을 보는 회사원,현판,영완(映完),9.8,False,True,False,False,False
79,칼라디아의 늑대 [독점],판타지,시연우,9.0,False,False,True,False,False
80,낱장의 여름 [독점],로맨스,박영,9.5,False,False,False,False,True
81,짙게 각인된 밤 [독점],로맨스,임여리,9.6,False,False,False,False,True
82,회귀한 재벌은 미국을 사기로했다,현판,연태량,9.3,False,True,False,False,False
83,고인물의 스킬이 너무 화려하다,판타지,광산김가,9.1,False,False,True,False,False
84,A.I. 닥터 [독점],현판,한산이가,9.8,False,True,False,False,False
85,시한부 천재가 살아남는 법,무협,청시소,9.6,True,False,False,False,False
86,절대 검감(絶對 劍感) [외전포함],무협,한중월야,9.4,True,False,False,False,False
87,천화서고 대공자 [독점],무협,김현영,9.7,True,False,False,False,False
88,할배무사와 지존 손녀 [독점],무협,일향(一向),9.7,True,False,False,False,False
89,환생한 음악천재가 재능을 못 숨김,현판,아몬드빵,9.1,False,True,False,False,False
90,약먹는 천재마법사,판타지,글근육,9.9,False,False,True,False,False
91,전생검신,무협,구로수번,9.5,True,False,False,False,False
92,재벌의 품격 [독점],현판,서인하,9.5,False,True,False,False,False
93,왕따 그만두고 천재합니다,현판,자론상이,9.4,False,True,False,False,False
94,바스티안 [독점] [에디티드 버전],로판,솔체,9.5,False,False,False,True,False
95,별을 품은 소드마스터,판타지,Q10,9.8,False,False,True,False,False
96,응급 맞선,로맨스,강영주,9.8,False,False,False,False,True
97,귀향한 먼치킨의 여행방송,현판,배고픈신발,9.0,False,True,False,False,False
98,당문전,무협,제이허빈,9.4,True,False,False,False,False
99,재벌을 넘어 귀족으로,현판,푸달,9.2,False,True,False,False,False
100,탑아이돌의 막내 멤버가 되었다 [독점],현판,강서울,9.9,False,True,False,False,False
