	제목	장르	작가	장르1	장르2
38	레벨 1,635,256,739 유산을 얻었다	판타지,현대판타지	앤비즈	판타지	현대판타지
39	국가권력급 헌터가 미국으로 이민감	현대판타지,판타지	재즈소울	현대판타지	판타지
40	폴란드 여왕 키우기	대체역사,퓨전	마늘맛스낵	대체역사	퓨전
41	톱스타의 오빠가 작곡 천재였다	현대판타지,드라마	설과연	현대판타지	드라마
42	신화급 아이템을 뽑았다	판타지,퓨전	백야필담	판타지	퓨전
43	역대급 뱀직구로 슈퍼에이스!	스포츠,현대판타지	율운	스포츠	현대판타지
44	EX급 특성으로 중세 기사로 살아남기	판타지,퓨전	포더엠	판타지	퓨전
45	악업 쌓고 레벨업	판타지	무영자	판타지	
46	하남자 헌터의 셀프육성법	퓨전,판타지	데프프픗	퓨전	판타지
47	어쩌다 만능 채집꾼으로 각성함?	현대판타지	현연	현대판타지	
48	신의 능력을 얻었다	현대판타지,판타지	의향도	현대판타지	판타지
49	재벌 3세가 슈트 입고 날아다님	현대판타지,퓨전	크레도	현대판타지	퓨전
50	즉사 권능으로 신의 사도가 되었다	대체역사,판타지	폭식마왕	대체역사	판타지
51	이세계 마법사가 농사를 잘 지음	판타지,퓨전	이디즈	판타지	퓨전
52	투수가 싸움을 잘함	스포츠,판타지	묘엽	스포츠	판타지
53	거물 연예인들이 집착하는 괴물 신입 매니저	판타지,현대판타지	흠박	판타지	현대판타지
54	1,964,325,645개의 뼈를 얻었다.	현대판타지	킴호놀	현대판타지	
55	천마삼촌의 지구 인맥이 심상치않음	현대판타지,퓨전	버스트다운	현대판타지	퓨전
56	별에서 온 조선인	대체역사	조휘	대체역사	
57	빵셔틀이 회귀해서 재벌 삼킴	현대판타지,드라마	어썸.	현대판타지	드라마
58	죽은 자의 기억으로 sss급 되기	현대판타지,판타지	영완(映完)	현대판타지	판타지
59	천재작가는 작품의 미래를 본다	현대판타지,퓨전	주딩크	현대판타지	퓨전
60	폭군인데 나라가 부국강병함	대체역사,판타지	뚱보고양이	대체역사	판타지
61	북부 전선의 미친 네크로맨서	판타지,퓨전	글철인	판타지	퓨전
62	이혼 후 160km를 던지게 되었다	스포츠,퓨전	로웰크란	스포츠	퓨전
63	신입 매니저가 연기판 씹어먹음	현대판타지	액시언	현대판타지	
64	알프스 산맥의 제왕	판타지,대체역사	삼둘	판타지	대체역사
65	신화급 바이킹 전사가 되었다	판타지,퓨전	미래소년	판타지	퓨전
66	마나 무한으로 초월급 플레이어	현대판타지,판타지	블럭통통	현대판타지	판타지
67	이마의 글자가 보인다	현대판타지	불량집사	현대판타지	
68	무역재벌, 조선의 개혁군주가 되었다.	대체역사,퓨전	다물랑	대체역사	퓨전
69	케이팝 생태계 교란종이 되었다	현대판타지,판타지	쥬운	현대판타지	판타지
70	무공으로 내 인생 만만세!	현대판타지,무협	HBF	현대판타지	무협
71	망한 세상의 칼잡이	판타지,퓨전	콜라탄산	판타지	퓨전
72	유랑기사와 움직이는 성	판타지,퓨전	구소재	판타지	퓨전
73	하남자의 현금 사용법	판타지,현대판타지	째개	판타지	현대판타지
74	비선출이 MLB를 씹어먹음	스포츠	yt0709	스포츠	
75	시골 검성이 힘을 안 숨김	무협,판타지	사초™	무협	판타지
76	성장률 999배 아공간을 얻었다	현대판타지,판타지	리슝	현대판타지	판타지
77	내 영지에 혁명은 필요없다	판타지,퓨전	남극여우야	판타지	퓨전
78	머신건 전봉준 총통	대체역사,전쟁·밀리터리	물연필	대체역사	전쟁·밀리터리
79	아빠가 갑자기 축구를 잘함	스포츠,현대판타지	스또리	스포츠	현대판타지
80	천조국 건스미스가 되었다	대체역사,전쟁·밀리터리	[서평]	대체역사	전쟁·밀리터리
81	EX급 귀농 라이프	현대판타지,무협	캡틴베어	현대판타지	무협
82	수선기담 신마분혼기 修仙奇談 神魔分魂記	무협,판타지	김상규	무협	판타지
83	Mr. 할리우드!	현대판타지	트뤼포	현대판타지	
84	환생도마	무협,판타지	조가치	무협	판타지
85	조선화력공사	대체역사,전쟁·밀리터리	영협	대체역사	전쟁·밀리터리
86	고아출신 포수가 매의 눈을 가짐	스포츠,현대판타지	키친캐비닛	스포츠	현대판타지
87	행운 1,500으로 선협 세계 빙의	무협,퓨전	아위로	무협	퓨전
88	흙수저가 야구를 잘함	스포츠	완콥	스포츠	
89	사파정점, 남궁으로 환생하다	무협,퓨전	공경	무협	퓨전
90	첫사랑과 이별후 작곡대박!	현대판타지,드라마	러데	현대판타지	드라마
91	호위검천	무협,퓨전	김태현	무협	퓨전
92	외계인으로 꿀빠는 투수	현대판타지,스포츠	유나파파	현대판타지	스포츠
93	6.25 후 부동산 재벌이 되었다	대체역사,판타지	투자인	대체역사	판타지
94	이혼하고 피지컬로만 S(EX)급 찍은 썰 푼다	현대판타지,퓨전	안신아	현대판타지	퓨전
95	염라귀환	무협,판타지	십사센	무협	판타지
96	영주님이 이세계에 과학을 풀었다	판타지,퓨전	최뚝	판타지	퓨전
97	1971 독재자 박통이 되었다	대체역사,현대판타지	Zeta.	대체역사	현대판타지
98	오파츠가 내 몸에 깃들었다	현대판타지,퓨전	새둥이	현대판타지	퓨전
99	진짜 재벌 사위로 살겠다	현대판타지,드라마	건쇼	현대판타지	드라마
100	방구석 파괴신은 조용하게 살고 싶다	판타지,퓨전	크래커™	판타지	퓨전
101	기갑 아포칼립스의 회귀자	퓨전,현대판타지	고머	퓨전	현대판타지
102	절멸급 스탯포식자가 다 씹어먹음	퓨전,현대판타지	그림자별	퓨전	현대판타지
103	이혼 후 국가권력급 최강재벌	현대판타지,퓨전	침략자	현대판타지	퓨전
104	폐교에서 다시 시작하는 신혼생활	현대판타지,라이트노벨	페이소	현대판타지	라이트노벨
105	다시 사는 재벌집 망나니	현대판타지,판타지	피리홍	현대판타지	판타지
106	선수 능력이 다 보임	스포츠,현대판타지	탈주병	스포츠	현대판타지
107	아포칼립스의 무한쉘터	현대판타지,판타지	화가많은	현대판타지	판타지
108	마왕이 빙의한 EX급 능력자가 세상을 지배함	현대판타지,판타지	나쵸칩	현대판타지	판타지
109	회귀 재벌은 참지 않는다	현대판타지,판타지	마태.	현대판타지	판타지
110	만렙환생	무협,퓨전	태영(太影)	무협	퓨전
111	회귀무적	무협,퓨전	행호사	무협	퓨전
112	방구석 타워 소환사	판타지,현대판타지	숙성연어	판타지	현대판타지
113	재벌집 막내가 돈을 막 씀	현대판타지,대체역사	테드K	현대판타지	대체역사
114	우주선으로 세상을 바꾸다	SF,현대판타지	다큐인생	SF	현대판타지
115	금 수천 톤을 캐낸 회사원	현대판타지	드렁컨66	현대판타지	
116	천재배우의 미친연기가 지렸다	현대판타지,판타지	늬파랑	현대판타지	판타지
117	100레벨이 만렙이었을 텐데 999레벨로 각성했다	현대판타지,퓨전	l채병일l	현대판타지	퓨전
118	귀농 후 옛 제자들이 집착한다	판타지,퓨전	프레농	판타지	퓨전
119	내 천직은 검은머리 CIA 국장	대체역사,현대판타지	치타리아	대체역사	현대판타지
120	DMZ 만능 취사병이 되었다	현대판타지,판타지	95스피릿	현대판타지	판타지
121	독고세가 구석에 무공 천재가 산다.	무협,퓨전	킹슬레이	무협	퓨전
122	집구석 딸깍 힐러	현대판타지	광별	현대판타지	
123	역대급 축구 천재가 트로피를 싹쓸이함	스포츠,현대판타지	파란후드	스포츠	현대판타지
124	조선기갑대전(朝鮮 機甲大戰) 시즌2	대체역사,전쟁·밀리터리	풍아저씨	대체역사	전쟁·밀리터리
125	시간을 달리는 변호사	현대판타지,판타지	치킨소년	현대판타지	판타지
126	나만 살기 좋은 아포칼립스	판타지,현대판타지	AKARU	판타지	현대판타지
127	나혼자 각성	현대판타지,판타지	귀농재벌	현대판타지	판타지
128	아포칼립스의 SSS급 네크로맨서	현대판타지,판타지	limkun	현대판타지	판타지
129	F급 영지의 EX급 소드마스터	현대판타지,게임	물먹은의자	현대판타지	게임
130	이세계를 대충 알고있어서	판타지,드라마	청잠바	판타지	드라마
131	오스만 떡상 못 시키면 죽음	대체역사,전쟁·밀리터리	리라이트.	대체역사	전쟁·밀리터리
132	천재 게임디렉터는 돈복사로 갓겜을 만든다	현대판타지,판타지	일그램	현대판타지	판타지
133	농구천재는 회귀가 하고 싶다	스포츠,현대판타지	미에크	스포츠	현대판타지
134	이것이 야구혁명이다	스포츠,현대판타지	한유림	스포츠	현대판타지
135	혈부천령	무협	화풍목	무협	
136	카이저가 죽었다	대체역사,판타지	몰라젠장	대체역사	판타지
137	천재 축구선수의 힐링 식당	현대판타지,판타지	R렉스	현대판타지	판타지
138	UFO를 빼앗았다	SF,판타지	구상만	SF	판타지
139	나는 예쁜 아내랑 농사짓고 정령 키우면서 알콩달콩 산다	판타지,퓨전	베르헤라	판타지	퓨전
140	주인공이 외계인을 숨김	현대판타지,SF	후회는없어	현대판타지	SF
141	일대종사 천재 칼잡이	무협	가늴	무협	
142	재, 벌!	현대판타지	십오기	현대판타지	
143	타이(TIE)	판타지,퓨전	노병(老兵)	판타지	퓨전
144	귀염뽀짝 아기부터 엔터생활	현대판타지,판타지	김의선	현대판타지	판타지
145	회귀? 개꿈? 젠장. 회귀였다.	판타지	한번봐줘	판타지	
146	아포칼립스의 EX급 천재 저격수	현대판타지,판타지	퐉스	현대판타지	판타지
147	초능력, 투시수선전( 透視修仙傳)	무협,퓨전	구름다	무협	퓨전
148	행운의 로또 당첨자	현대판타지,판타지	피자치킨	현대판타지	판타지
149	곤륜환생	무협	설하랑	무협	
150	천양(1000x10의28승)원을 얻었다	현대판타지,퓨전	곰대리	현대판타지	퓨전
151	검술과 궁술에 미친 자작가 이공자가 돈도 잘 범	판타지,퓨전	오렌	판타지	퓨전
152	뉴욕 명문가의 데릴사위가 되었다	대체역사,전쟁·밀리터리	별가지깃발	대체역사	전쟁·밀리터리
153	천재 애니 감독은 미디어 재벌이 되기로 했다	현대판타지,대체역사	드림판다	현대판타지	대체역사
154	무한으로 스탯 쌓는 고인물	판타지,게임	영구리94	판타지	게임
155	나 혼자만 SSS급 스톤 헌터	현대판타지,퓨전	호옷	현대판타지	퓨전
156	삼국지 내가 왕세자라니	대체역사,전쟁·밀리터리	케이도깨비	대체역사	전쟁·밀리터리
157	돈지랄 과금헌터	현대판타지,퓨전	싸우전드	현대판타지	퓨전
158	승룡전기(昇龍傳記)	무협	남진군	무협	
159	멸국의 소드마스터	판타지,퓨전	망신창이	판타지	퓨전
160	상태창으로 놀이공원 강화하기	현대판타지,퓨전	린더	현대판타지	퓨전
161	제갈세가 장남은 천마	무협	파머킴	무협	
162	현실 무한성장 상태창	현대판타지,퓨전	아이스바인™	현대판타지	퓨전
163	삼국지, 천하제일미인을 마누라로 둔 남자 (원희전)	대체역사,판타지	신유(愼惟)	대체역사	판타지
164	천람무적	무협	원하	무협	
165	재벌은 영화처럼 살기로 했다.	현대판타지,대체역사	통조림9호	현대판타지	대체역사
166	공략집으로 제국의 미친개가 되었다	판타지	싸우전드	판타지	
167	무한내공으로 시작하는 강호 정복기	무협,퓨전	고요섬	무협	퓨전
168	효자무신록	무협	다원.	무협	
169	갑자기 1417년 트립	대체역사,전쟁·밀리터리	행인.3	대체역사	전쟁·밀리터리
170	무형검(無形劍)	무협	반잔	무협	
171	내가 던전에서 살아남는 방법	현대판타지,퓨전	Jstar	현대판타지	퓨전
172	능력자들이 집착하는 천재 드라마감독	현대판타지,드라마	빅스톤	현대판타지	드라마
173	제국의 마법사로 살아가는 법	판타지	페르세르크	판타지	
174	F급 무한재생 헌터	판타지,현대판타지	능구석	판타지	현대판타지
175	전생 기억이 떠올랐습니다만?	판타지,퓨전	정주(丁柱)	판타지	퓨전
176	가챠로 요리의 신을 뽑았다	현대판타지,판타지	송장벌레	현대판타지	판타지
177	정령 아빠가 요리를 잘함	현대판타지	낙필	현대판타지	
178	알바생은 투자 천재	현대판타지	용은	현대판타지	
179	요리천재의 힐링 국밥집	현대판타지	초고상승	현대판타지	
180	오디션 탑스타	현대판타지	나르바나	현대판타지	
181	회귀한 흑마법사는 평범하게 살고 싶다	현대판타지	수르코프	현대판타지	
182	S급 각성자가 E급으로 등록됨	현대판타지	수년필	현대판타지	
183	전생 후 EX급 망나니로 살아남기	무협,퓨전	시우림	무협	퓨전
184	회귀한 EX급 농사꾼이 종말을 찢음	판타지,현대판타지	필우(必遇)	판타지	현대판타지
185	내 조선에 척화비는 없다	대체역사,퓨전	히캣	대체역사	퓨전
186	삼국지 오환으로 도망친 원희	대체역사,현대판타지	물회	대체역사	현대판타지
187	탄핵당한 대통령이 회귀했다	현대판타지,대체역사	박명의하늘	현대판타지	대체역사
188	귀농 후 재벌이 된 청년	현대판타지,판타지	악중선	현대판타지	판타지
189	시한부 화화공자의 기묘한 여행	무협,퓨전	간편한인생	무협	퓨전
190	천조국 부동산 재벌이 되었다	현대판타지	그레이c	현대판타지	
191	프롤로그까지 30년 걸린 썰 푼다	판타지,퓨전	구스타몽	판타지	퓨전
192	전설급 특성을 가지고 소설에 빙의함	퓨전,판타지	아르케	퓨전	판타지
193	로또 1등도 글을 씁니다	현대판타지	에단.	현대판타지	
194	어느 비룡 기수 이야기	판타지,스포츠	세그폴	판타지	스포츠
195	영단이 사라졌다	무협	성우(成宇)	무협	
196	어쩌다 수선	퓨전,무협	심씀	퓨전	무협
197	평범한 변방 시골 남작가의 평범한 환생자	판타지,퓨전	극동새우	판타지	퓨전
198	알바생이 연출을 너무 잘함!	현대판타지	박달대게	현대판타지	
199	환생사기가 전화위복이 되었다.	판타지,퓨전	眞펜릴	판타지	퓨전
200	대한제국을 더 위대하게!	대체역사,퓨전	백약지장	대체역사	퓨전
