,제목,장르,작가,평점,무협,현판,판타지,로맨스,로판
54,사랑하는 나의 억압자 [독점],로판,서사희,9.9,False,False,False,False,True
55,전리품 공작부인 [독점],로판,레몬개구리,9.6,False,False,False,False,True
56,"전설의 헌터, 회춘하다 [독점]",현판,BBing,9.0,False,True,False,False,False
57,낱장의 여름 [독점],로맨스,박영,9.5,False,False,False,True,False
58,블랙기업조선,판타지,국뽕,9.6,False,False,True,False,False
59,피폐물을 힐링물로 만드는 방법 [독점],로판,황도톨,9.8,False,False,False,False,True
60,저주받은 공작님을 위하여,로판,성하,9.8,False,False,False,False,True
61,A.I. 닥터 [독점],현판,한산이가,9.8,False,True,False,False,False
62,달동네 천재 작가,현판,웨이트,9.8,False,True,False,False,False
63,당문전,무협,제이허빈,9.4,True,False,False,False,False
64,기프티드 (GIFTED),현판,도서관식객,9.5,False,True,False,False,False
65,회귀한 재벌은 미국을 사기로했다,현판,연태량,9.3,False,True,False,False,False
66,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,7.5,False,False,False,False,True
67,운명을 보는 회사원,현판,영완(映完),9.8,False,True,False,False,False
68,쓰나미도 피하는 위치선정 축구천재,현판,계약직,8.1,False,True,False,False,False
69,바스티안 [독점] [에디티드 버전],로판,솔체,9.5,False,False,False,False,True
70,너를 황제로 만들겠다 [독점],로판,이뚜언,9.8,False,False,False,False,True
71,천만년만에 귀환한 무신님,판타지,맛깔란,8.3,False,False,True,False,False
72,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,9.6,True,False,False,False,False
73,천재의 신들린 게임방송 [독점],현판,믿고보는,9.8,False,True,False,False,False
74,국세청 망나니 [독점],현판,동면거북이,9.6,False,True,False,False,False
75,별을 품은 소드마스터,판타지,Q10,9.8,False,False,True,False,False
76,블랙배저 [독점],판타지,썬터다운,9.9,False,False,True,False,False
77,천화서고 대공자 [독점],무협,김현영,9.7,True,False,False,False,False
78,시한부 천재가 살아남는 법,무협,청시소,9.6,True,False,False,False,False
79,절대 검감(絶對 劍感) [외전포함],무협,한중월야,9.4,True,False,False,False,False
80,방출당한 투수가 금강불괴로 돌아옴,현판,단팥빵소년,8.4,False,True,False,False,False
81,짙게 각인된 밤 [독점],로맨스,임여리,9.6,False,False,False,True,False
82,영업 천재가 되었다,현판,댄킴,9.9,False,True,False,False,False
83,무당이 역대급 음악천재였다,현판,한꽃,9.1,False,True,False,False,False
84,죽은 신의 성기사 [독점],판타지,초매,9.8,False,False,True,False,False
85,절대적 차악 [독점],로맨스,서이영,9.3,False,False,False,True,False
86,뒷결혼 [독점],로맨스,김노라,9.5,False,False,False,True,False
87,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,9.5,False,False,True,False,False
88,못 잡아먹어서 안달 [독점],로맨스,플아다,9.9,False,False,False,True,False
89,망한 아이돌이 천재 배우였다,현판,성운盛運,8.7,False,True,False,False,False
90,약먹는 천재마법사,판타지,글근육,9.9,False,False,True,False,False
91,갓 오브 블랙필드,판타지,무장,9.5,False,False,True,False,False
92,록스타 어게인 [독점],현판,댄킴,9.6,False,True,False,False,False
93,재벌의 품격 [독점],현판,서인하,9.5,False,True,False,False,False
94,무한 리필 플레이어 [독점],판타지,담백하,8.6,False,False,True,False,False
95,두 번째 집착 [독점],로맨스,강춘,9.9,False,False,False,True,False
96,이섭의 연애 [독점],로맨스,김언희,9.9,False,False,False,True,False
97,탑아이돌의 막내 멤버가 되었다 [독점],현판,강서울,9.9,False,True,False,False,False
98,회귀자의 성공 투자법 [독점],현판,박성호,8.4,False,True,False,False,False
99,천마육성 시뮬레이션 [독점],무협,조형근,8.9,True,False,False,False,False
100,천마님 안마하신다,현판,레빗토끼,9.7,False,True,False,False,False
