,제목,장르,작가,평점,현판,로맨스,무협,판타지,로판
65,미워할 땐 언제고 [독점],로판,서도아,8.9,False,False,False,False,True
66,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,7.5,False,False,False,True,False
67,천산방 [독점],무협,허담,9.0,False,False,True,False,False
68,재혼 황후 [독점],로판,알파타르트,9.8,False,False,False,False,True
69,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,9.5,False,False,False,True,False
70,"왕따, 재벌되다!",현판,별산,6.6,True,False,False,False,False
71,악당 가족이 독립을 반대한다 [독점],로판,이흰,9.9,False,False,False,False,True
72,더는 당신의 악녀로 살지 않겠습니다 [독점],로판,임홀리,9.7,False,False,False,False,True
73,변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,9.5,False,False,False,True,False
74,귀향한 먼치킨의 여행방송,현판,배고픈신발,9.4,True,False,False,False,False
75,미친 괴물급 천재 칼잡이의 아포칼립스,현판,노글라스,9.6,True,False,False,False,False
76,저 시한부 아닌데요!,로판,월루눈,8.4,False,False,False,False,True
77,북부 대공,로판,투머치텐션,9.7,False,False,False,False,True
78,노력형 대마법사,현판,바라,8.9,True,False,False,False,False
79,버려진 황자로 편하게 사는 법 [독점],판타지,오프신,9.6,False,False,False,True,False
80,솔저 오브 아포칼립스 [독점],현판,기백,8.4,True,False,False,False,False
81,탑 매니지먼트,현판,장우산,9.4,True,False,False,False,False
82,혼자 걷는 새,로맨스,서사희,9.7,False,True,False,False,False
83,"마침내, 그들이 후회할 때 [선공개]",로판,잔우리,9.3,False,False,False,False,True
84,과로사로 죽고 나니 망돌 배우 [독점],현판,천태거,9.4,True,False,False,False,False
85,현계지문 [독점],무협,왕위,8.9,False,False,True,False,False
86,딸을 위해 쓴 소설이 대박났다,현판,소수깡,9.4,True,False,False,False,False
87,전남편 대신 노예와 결혼했다 [선공개],로판,브라이튼,9.4,False,False,False,False,True
88,로또로 시작된 재벌인생! [독점],현판,흑곰,7.9,True,False,False,False,False
89,전생킬러인데 모범시민,현판,장성필,9.4,True,False,False,False,False
90,"전설의 헌터, 회춘하다 [독점]",현판,BBing,9.0,True,False,False,False,False
