,제목,장르,작가,평점,무협,로판,현판,판타지,로맨스
56,회귀자 생활백서(回歸者 生活白書),무협,넉울히,9.2,True,False,False,False,False
57,"언니, 이번 생엔 내가 왕비야 [독점]",로판,레팔진프,7.5,False,True,False,False,False
58,재벌을 넘어 귀족으로,현판,푸달,8.6,False,False,True,False,False
59,영업 천재가 되었다,현판,댄킴,9.9,False,False,True,False,False
60,왕따 그만두고 천재합니다,현판,자론상이,9.4,False,False,True,False,False
61,짜장 한 그릇에 제갈세가 데릴사위,무협,에르훗,9.6,True,False,False,False,False
62,당문전,무협,제이허빈,9.4,True,False,False,False,False
63,무한 리필 플레이어 [독점],판타지,담백하,8.6,False,False,False,True,False
64,천화서고 대공자 [독점],무협,김현영,9.7,True,False,False,False,False
65,A.I. 닥터 [독점],현판,한산이가,9.8,False,False,True,False,False
66,약먹는 천재마법사,판타지,글근육,9.9,False,False,False,True,False
67,천재의 신들린 게임방송 [독점],현판,믿고보는,9.8,False,False,True,False,False
68,별을 품은 소드마스터,판타지,Q10,9.8,False,False,False,True,False
69,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,9.2,False,False,False,True,False
70,몬스터와 힐링하는 S급 헌터,현판,다기205,9.9,False,False,True,False,False
71,재벌의 품격 [독점],현판,서인하,9.5,False,False,True,False,False
72,나의 조선에 유교는 필요없다,판타지,정동갑제,9.1,False,False,False,True,False
73,은퇴한 초인의 슬로우라이프,판타지,ROHRAN노란,9.7,False,False,False,True,False
74,시한부 천재가 살아남는 법,무협,청시소,9.6,True,False,False,False,False
75,감히 눈을 마주치지 말 것 [독점],로판,유세라,9.5,False,True,False,False,False
76,할배무사와 지존 손녀 [독점],무협,일향(一向),9.7,True,False,False,False,False
77,목소리를 듣는 천재 매니저 [독점],현판,에프릴,9.0,False,False,True,False,False
78,사랑하는 나의 억압자 [독점],로판,서사희,9.9,False,True,False,False,False
79,두 번째 집착 [독점],로맨스,강춘,9.9,False,False,False,False,True
80,블랙배저 [독점],판타지,썬터다운,9.9,False,False,False,True,False
81,지옥에서 돌아온 천재 작가 [독점],현판,매운도사,8.5,False,False,True,False,False
82,장씨세가 호위무사 [독점],무협,조형근,9.2,True,False,False,False,False
83,응급 맞선,로맨스,강영주,9.8,False,False,False,False,True
84,천만년만에 귀환한 무신님,판타지,맛깔란,8.3,False,False,False,True,False
85,운명을 보는 회사원,현판,영완(映完),9.8,False,False,True,False,False
86,귀농했는데 아포칼립스 터졌다,판타지,버머랜드,7.4,False,False,False,True,False
87,천마육성 시뮬레이션 [독점],무협,조형근,8.9,True,False,False,False,False
88,죽은 신의 성기사 [독점],판타지,초매,9.8,False,False,False,True,False
89,피폐물을 힐링물로 만드는 방법 [독점],로판,황도톨,9.8,False,True,False,False,False
90,귀농했더니 국가급 거물 후배들이 몰려든다,판타지,아길론,9.5,False,False,False,True,False
91,바스티안 [독점] [에디티드 버전],로판,솔체,9.5,False,True,False,False,False
92,농어촌 에이스 [독점],현판,이블라인,9.5,False,False,True,False,False
93,탑 매니지먼트,현판,장우산,9.4,False,False,True,False,False
94,악당 가족이 독립을 반대한다 [독점],로판,이흰,9.9,False,True,False,False,False
95,수비천재가 3점을 폭격함,현판,코다,9.4,False,False,True,False,False
96,방출당한 투수가 금강불괴로 돌아옴,현판,단팥빵소년,8.4,False,False,True,False,False
97,천재 흑마법사,판타지,노란커피,9.9,False,False,False,True,False
98,상남자 [독점],현판,김태궁,9.6,False,False,True,False,False
99,괴물 천재선수들이 날 너무 좋아함,현판,혜인태,9.7,False,False,True,False,False
100,전리품 공작부인 [독점],로판,레몬개구리,9.6,False,True,False,False,False
