,제목,장르,작가,장르1,장르2
109,천양(1000x10의28승)원을 얻었다,"현대판타지,퓨전",곰대리,현대판타지,퓨전
110,만렙 in 무림,"무협,퓨전",태영(太影),무협,퓨전
111,이혼 후 국가권력급 헌터,"판타지,퓨전",프레농,판타지,퓨전
112,재벌은 영화처럼 살기로 했다.,"현대판타지,대체역사",통조림9호,현대판타지,대체역사
113,이혼하니 앞마당에 석유가 터졌다,현대판타지,겸업백작,현대판타지,
114,로또 1등에 당첨된 위대한 천재 작가,현대판타지,에단.,현대판타지,
115,조선기갑대전(朝鮮 機甲大戰) 시즌2,"대체역사,전쟁·밀리터리",풍아저씨,대체역사,전쟁·밀리터리
116,알바생은 투자 천재,현대판타지,용은,현대판타지,
117,절멸급 스탯포식자가 다 씹어먹음,"퓨전,현대판타지",그림자별,퓨전,현대판타지
118,곤륜환생,무협,설하랑,무협,
119,일대종사 천재 칼잡이,무협,가늴,무협,
120,멸국의 소드마스터,"판타지,퓨전",망신창이,판타지,퓨전
121,투시수선전( 透視修仙傳),"무협,퓨전",구름다,무협,퓨전
122,삼국지 내가 왕세자라니,"대체역사,전쟁·밀리터리",케이도깨비,대체역사,전쟁·밀리터리
123,백작가 서자가 무공으로 다 씹어먹음,"판타지,무협",류도율,판타지,무협
124,이혼하고 피지컬로만 S(EX)급 찍은 썰 푼다,"현대판타지,퓨전",안신아,현대판타지,퓨전
125,회귀 재벌은 참지 않는다,"현대판타지,판타지",마태.,현대판타지,판타지
126,미연시의 교수가 과거를 숨김,"판타지,퓨전",구스타몽,판타지,퓨전
127,귀염뽀짝 아기부터 엔터생활,"현대판타지,판타지",김의선,현대판타지,판타지
128,일개 대위가 북한에서 쿠데타 일으킴,"대체역사,현대판타지",손병장,대체역사,현대판타지
129,회귀한 흑마법사는 평범하게 살고 싶다,현대판타지,수르코프,현대판타지,
130,"2024, 작전명:원 코리아","대체역사,현대판타지",선우선사,대체역사,현대판타지
131,아포칼립스의 SSS급 네크로맨서,"현대판타지,판타지",limkun,현대판타지,판타지
132,EX급 특성을 가진 초월급 헌터,"현대판타지,판타지",완달,현대판타지,판타지
133,조선 역사에 세조는 없다.,"현대판타지,대체역사",보명천,현대판타지,대체역사
134,무역회사 인턴이 주식을 잘함.,현대판타지,대작박가,현대판타지,
135,삼국지 오환으로 도망친 원희,"대체역사,현대판타지",물회,대체역사,현대판타지
136,재벌집 천재괴물,"현대판타지,대체역사",러브U,현대판타지,대체역사
137,퇴물 아이돌이 연기천재,"현대판타지,판타지",화롱,현대판타지,판타지
138,미궁 속 EX급 특전 독식자,"현대판타지,퓨전",별하늘고래,현대판타지,퓨전
139,능력자들이 집착하는 천재 드라마감독,"현대판타지,드라마",빅스톤,현대판타지,드라마
140,섭씨 800도의 천재 작가,"현대판타지,판타지",상연.,현대판타지,판타지
141,탄핵당한 대통령이 회귀했다,"현대판타지,대체역사",박명의하늘,현대판타지,대체역사
142,무한으로 스탯 쌓는 고인물,"판타지,게임",영구리94,판타지,게임
143,헌터가 제작을 너무 잘함,"현대판타지,퓨전",E787,현대판타지,퓨전
144,나는 예쁜 아내랑 농사짓고 정령 키우면서 알콩달콩 산다,"판타지,퓨전",베르헤라,판타지,퓨전
145,행운의 로또 당첨자,"현대판타지,판타지",피자치킨,현대판타지,판타지
146,괴물 천재배우가 데뷔함,"현대판타지,드라마",돈많은도비,현대판타지,드라마
147,타이(TIE),"판타지,퓨전",노병(老兵),판타지,퓨전
148,재벌 테크트리를 타다,"현대판타지,퓨전",아이스바인™,현대판타지,퓨전
149,최강의 용병이 회귀했다,판타지,칼텍스,판타지,
150,효자무신록,무협,다원.,무협,
151,마왕이 빙의한 EX급 능력자가 세상을 지배함,"현대판타지,판타지",나쵸칩,현대판타지,판타지
152,북부 전선의 미친 네크로맨서,"판타지,퓨전",글철인,판타지,퓨전
153,사원인데 회장입니다,현대판타지,협행마,현대판타지,
154,비선출이 MLB를 씹어먹음,스포츠,yt0709,스포츠,
155,현실 무한성장 상태창,"현대판타지,퓨전",아이스바인™,현대판타지,퓨전
156,나는 죽을 때마다 직업을 고른다,"판타지,퓨전",재시작,판타지,퓨전
157,검마전생기,"무협,퓨전",한스그레텔,무협,퓨전
158,카이저가 죽었다,"대체역사,판타지",몰라젠장,대체역사,판타지
159,떠돌이 장사치가 무공을 들킴,무협,오일제,무협,
160,오디션 탑스타,현대판타지,나르바나,현대판타지,
161,미래를 성형하는 의사,"현대판타지,판타지",이붉음,현대판타지,판타지
162,전생 기억이 떠올랐습니다만?,"판타지,퓨전",정주(丁柱),판타지,퓨전
163,EX등급 특성 갖고 회귀함,"현대판타지,판타지",히든피스콩,현대판타지,판타지
164,퇴역병의 무림보은행,"무협,판타지",유한세상,무협,판타지
165,인생역전 재벌가 입성기,"현대판타지,드라마",건쇼,현대판타지,드라마
166,퓨전펑크에 드래곤으로 환생했다,"판타지,퓨전",眞펜릴,판타지,퓨전
167,트립한국 유로파 1789,"대체역사,전쟁·밀리터리",겸업작가,대체역사,전쟁·밀리터리
168,어느 비룡 기수 이야기,"판타지,스포츠",세그폴,판타지,스포츠
169,아카데미 고인물이 업적을 다 먹음,"판타지,게임",무곰곰,판타지,게임
170,차원문으로 각성하다.,"현대판타지,판타지",pacar,현대판타지,판타지
171,상점창 쓰는 천재 투수,"스포츠,판타지",토스트말론,스포츠,판타지
172,국가를 훔치다!,"현대판타지,판타지",나정치,현대판타지,판타지
173,귀살,"무협,판타지",다미아,무협,판타지
174,나 혼자 스테미너 무한,"현대판타지,퓨전",단정한니트,현대판타지,퓨전
175,중세판타지 침략하기,"판타지,전쟁·밀리터리",이과충,판타지,전쟁·밀리터리
176,전설급 특성을 가지고 웹소설에 빙의하다.,"퓨전,판타지",아르케,퓨전,판타지
177,민주투사 아돌프 히틀러 일대기(진짜임),"대체역사,판타지",루까스최,대체역사,판타지
178,전지전능 낙하산매니저,"현대판타지,퓨전",MangoRed,현대판타지,퓨전
179,신성神聖한 투자자,현대판타지,드렁컨66,현대판타지,
180,갑툭튀 투수가 마운드를 지배함,"스포츠,현대판타지",맛찬,스포츠,현대판타지
181,도술 쓰는 공작님,"퓨전,판타지",이기준,퓨전,판타지
182,신님 재벌로 태어나게 해주세요,"현대판타지,퓨전",방탄리무진,현대판타지,퓨전
183,이세계를 대충 알고있어서,"판타지,드라마",청잠바,판타지,드라마
184,초특급 재벌로 시작하는 인생 2회차,"현대판타지,드라마",리얼탄산,현대판타지,드라마
185,나의 일본 원정기,"대체역사,판타지",마음의음식,대체역사,판타지
186,요리천재의 힐링 국밥집,현대판타지,초고상승,현대판타지,
187,알바생이 연출을 너무 잘함!,현대판타지,박달대게,현대판타지,
188,천재배우의 미친연기가 지렸다,"현대판타지,판타지",늬파랑,현대판타지,판타지
189,귀환 신의(歸還神醫),"무협,퓨전",말뚝이.,무협,퓨전
190,여우 전당포의 신비한 요리사,"현대판타지,퓨전",단향목,현대판타지,퓨전
191,귀농했더니 100조 재벌,현대판타지,어비윤,현대판타지,
192,실혼무림,"무협,대체역사",탄마,무협,대체역사
193,삼국지 난세의 간웅,"판타지,대체역사",매검향,판타지,대체역사
194,혈부천령,무협,화풍목,무협,
195,레벨업 하는 사장님,"현대판타지,판타지",글러브,현대판타지,판타지
196,크루세이더 킹,"판타지,퓨전",최고재벌,판타지,퓨전
197,하남자의 현금 사용법,"판타지,현대판타지",째개,판타지,현대판타지
198,영화만 찍으면 대박 납니다,"현대판타지,판타지",마스크퍼슨,현대판타지,판타지
199,회귀자가 싹 다 구속시킴,"판타지,현대판타지",망나니™,판타지,현대판타지
200,달마환생,"무협,판타지",수리뫼,무협,판타지
